[GC (Allocation Failure) [DefNew: 13129K->1600K(14784K), 0.0039379 secs] 13129K->1834K(47552K), 0.0039679 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2025-06-11 12:06:55.959  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:55.959  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:55.959  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:55.959  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:55.961  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:55.961  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:55.961  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:55.961  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:55.962  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:55.962  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.023  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.023  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.023  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.023  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.024  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.024  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.026  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.026  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.027  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.027  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.027  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.027  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.029  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.029  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.029  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.029  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.030  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.030  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.032  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.032  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.033  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.033  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.033  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.033  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.034  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.034  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.034  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.034  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.035  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.035  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.035  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.035  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.039  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.039  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.039  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.039  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.039  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.039  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.039  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.039  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.039  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.039  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.039  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.039  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.040  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.041  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.041  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.041  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.041  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.041  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.041  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.041  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.041  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.041  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.041  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.042  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.042  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.046  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.046  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.046  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.046  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.046  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.046  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.046  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.046  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.046  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.046  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.046  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.046  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.047  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.048  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.049  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.049  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.049  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.049  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.049  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.049  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.049  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.049  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.051  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.051  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:56.051  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
